OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
197,2015,NonResidential,Retail Store,5,NORTH,47.70798492,-122.32534027,1.0,4.0,124342,Retail Store,8835104.0,65.14,0.22,50,1,1.0,0.0,124342.0,31085.5
198,2015,NonResidential,Hospital,4,NORTHEAST,47.66356652,-122.2813832,1.0,10.0,879000,Hospital (General Medical & Surgical),251191824.0,8046.7,8.59,62,1,1.0,0.0,879000.0,87900.0
200,2015,NonResidential,Other,5,NORTHWEST,47.70952866,-122.3346575,1.0,3.0,55442,Financial Office,3091559.0,80.49,1.31,19,3,1.0,0.0,55442.0,18480.667
205,2015,SPS-District K-12,K-12 School,6,BALLARD,47.67678666,-122.3739682,1.0,2.0,242795,K-12 School,8728584.0,119.09,0.36,16,1,1.0,0.0,242795.0,121397.5
209,2015,NonResidential,"Self-Storage Facility
",3,EAST,47.61229181,-122.3170942,1.0,5.0,84870,Self-Storage Facility,1136698.0,40.35,0.45,105,1,1.0,0.0,84870.0,16974.0
211,2015,Campus,College/University,5,NORTHWEST,47.69879162,-122.3338342,11.0,2.0,694072,College/University,37117212.0,440.31,0.43,45,1,0.83917,0.16083,63097.455,347036.0
212,2015,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54657866,-122.2820193,1.0,2.0,173185,K-12 School,6863464.0,282.34,1.59,63,1,1.0,0.0,173185.0,86592.5
214,2015,SPS-District K-12,K-12 School,1,DELRIDGE,47.54806021,-122.3620019,1.0,1.0,145341,K-12 School,4998015.0,177.1,1.16,52,1,1.0,0.0,145341.0,145341.0
215,2015,NonResidential,Non-Refrigerated Warehouse,2,GREATER DUWAMISH,47.54941628,-122.3160421,1.0,4.0,114297,Non-Refrigerated Warehouse,1738724.0,52.94,0.43,111,1,1.0,0.0,114297.0,28574.25
216,2015,SPS-District K-12,K-12 School,2,SOUTHEAST,47.52383423,-122.2660141,1.0,2.0,184125,K-12 School,8037287.0,294.12,1.53,55,1,1.0,0.0,184125.0,92062.5
